Algorithm,Train_R2,Train_RMSE,Train_MAE,Test_R2,Test_RMSE,Test_MAE,Parameters,Composite_Score,R2_Normalized,RMSE_Normalized_Inverted
Random Forest,0.9755186423869462,0.12274139822733962,0.04475919566544551,0.9667892359619518,0.16121734622995465,0.06631633885438191,"max_features=2, min_samples_leaf=2, n_estimators=300",1.0,1.0,1.0
Support Vector Machine,0.948142637039107,0.1786399265577256,0.12598270495454655,0.9492254742624042,0.19934037563889953,0.1388574247140347,"C=1.0, gamma=0.1, kernel=rbf",0.10739014225282284,0.1127215833484183,0.10205870115722737
K-Nearest Neighbors,0.965561224489796,0.14557847581859087,0.057692307692307744,0.9489795918367347,0.19982245890863864,0.08695652173913052,n_neighbors=7,0.09550201124099254,0.10030020272036741,0.09070381976161768
XGBoost,0.9998434623227317,0.009814829510435998,0.006235927916490114,0.9472425158413351,0.20319563445926428,0.08287748046543288,"colsample_bytree=0.8, learning_rate=0.3, max_depth=4, n_estimators=50, subsample=0.7",0.011900078460705427,0.01254735881555874,0.011252798105852113
Neural Network,0.9206772718569538,0.22093887514325522,0.16309578670641572,0.9469941396653127,0.20367338367703072,0.14112256692427058,"alpha=0.0, hidden_layer_sizes=(10,), max_iter=300",0.0,0.0,0.0
